[13-Mar-2026 20:55:11 UTC] PHP Warning:  Undefined variable $parent_theme_name in /workspaces/Assignment-3-/.wordpress/wp-content/mu-plugins/one-click-child-theme/templates/create_child_form.php on line 18
[13-Mar-2026 21:26:38 UTC] PHP Fatal error:  Out of memory (allocated 37748736 bytes) (tried to allocate 28672 bytes) in /workspaces/Assignment-3-/.wordpress/wp-admin/includes/ajax-actions.php on line 5062
[13-Mar-2026 21:26:48 UTC] PHP Fatal error:  Out of memory (allocated 35651584 bytes) (tried to allocate 2097152 bytes) in /workspaces/Assignment-3-/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/register-product.php on line 759
[13-Mar-2026 21:26:48 UTC] PHP Fatal error:  Out of memory (allocated 35651584 bytes) (tried to allocate 2097152 bytes) in /workspaces/Assignment-3-/.wordpress/wp-includes/sodium_compat/src/Core/Util.php on line 12
[13-Mar-2026 21:26:58 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/Assignment-3-/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/register-product.php on line 759
[13-Mar-2026 21:26:58 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/Assignment-3-/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[13-Mar-2026 21:26:58 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/Assignment-3-/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/extensions.php on line 173
[13-Mar-2026 21:26:58 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/Assignment-3-/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[13-Mar-2026 21:27:04 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/Assignment-3-/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/register-product.php on line 759
[13-Mar-2026 21:27:04 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/Assignment-3-/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[13-Mar-2026 21:27:08 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/Assignment-3-/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/register-product.php on line 759
[13-Mar-2026 21:27:08 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/Assignment-3-/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[13-Mar-2026 21:27:15 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/Assignment-3-/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/extensions.php on line 173
[13-Mar-2026 21:27:15 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/Assignment-3-/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[13-Mar-2026 21:27:17 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/Assignment-3-/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/register-product.php on line 762
[13-Mar-2026 21:27:17 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/Assignment-3-/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[13-Mar-2026 21:27:19 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/Assignment-3-/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/register-product.php on line 475
[13-Mar-2026 21:27:19 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/Assignment-3-/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[13-Mar-2026 21:27:19 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/Assignment-3-/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/register-product.php on line 759
[13-Mar-2026 21:27:19 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/Assignment-3-/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[13-Mar-2026 21:27:25 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/Assignment-3-/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/register-product.php on line 759
[13-Mar-2026 21:27:25 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/Assignment-3-/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[13-Mar-2026 21:27:29 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/Assignment-3-/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/register-product.php on line 759
[13-Mar-2026 21:27:29 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/Assignment-3-/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[13-Mar-2026 21:27:40 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/Assignment-3-/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/register-product.php on line 759
[13-Mar-2026 21:27:40 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/Assignment-3-/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
